SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
7/23/2019,Grams,Buds,596530.59,0,0,41624.5,596530.59,41624.5,14127
8/9/2019,Grams,Kief,357.72,0,0,11,357.72,11,11
12/30/2021,Grams,Buds,2121270.03,0,0,168969.11,2121270.03,168969.11,39764
8/5/2021,Grams,Infused Pre-Rolls,34236.98,0,0,1172.97,34236.98,1172.97,1065
7/8/2021,Each,Concentrate (Each),267415.45,4931,267415.45,0,0,4931,4500
3/21/2020,Grams,Shake/Trim (by strain),12350.9,0,0,767,12350.9,767,626
5/27/2022,Grams,Concentrate,7556.09,0,0,143.52,7556.09,143.52,142
9/9/2020,Each,Vape Product,411991.96,7110,411991.96,0,0,7110,6176
5/27/2023,Each,Vape Product,922352.97,26213,922352.97,0,0,26213,23419
7/21/2021,Grams,Shake/Trim (by strain),22891.48,0,0,2999.75,22891.48,2999.75,496
6/30/2020,Grams,Raw Pre-Rolls,192551.63,0,0,12446.69,192551.63,12446.69,9038
2/21/2021,Each,Vape Product,588548.43,10158,588548.43,0,0,10158,8951
10/8/2020,Grams,Infused Pre-Rolls,6782.82,0,0,267.35,6782.82,267.35,269
7/23/2023,Grams,Raw Pre-Rolls,656332.35,0,0,68853.55,656332.35,68853.55,43030
11/13/2020,Grams,Raw Pre-Rolls,374793.7,0,0,24642.34,374793.7,24642.34,18315
12/18/2022,Grams,Kief,3814.92,0,0,184,3814.92,184,157
12/21/2019,Each,Concentrate (Each),217423.54,4276,217423.54,0,0,4276,3812
3/5/2023,Each,Vape Product,824242.5,21475,824242.5,0,0,21475,18890
12/3/2022,Grams,Buds,1809605.19,0,0,258197.88,1809605.19,258197.88,41268
12/14/2021,Milligrams,Concentrate,160,0,0,2000,160,2000,1
10/14/2022,Grams,Concentrate (Bulk),908.96,0,0,23.5,908.96,23.5,25
5/26/2021,Grams,Buds,1455281.2,0,0,104052.12,1455281.2,104052.12,27478
10/16/2021,Grams,Concentrate,7168.06,0,0,102.5,7168.06,102.5,117
6/3/2021,Grams,Shake/Trim (by strain),28713.37,0,0,3910.25,28713.37,3910.25,642
6/10/2021,Grams,Kief,2512.5,0,0,105.9,2512.5,105.9,84
3/19/2022,Kilograms,Concentrate,469.16,0,0,0,469.16,0,7
2/11/2020,Each,Vape Product,209909.57,3434,209909.57,0,0,3434,3099
6/19/2023,Grams,Concentrate (Bulk),553.75,0,0,22.5,553.75,22.5,17
6/13/2023,Each,Immature Plants,189.5,11,189.5,0,0,11,6
1/18/2020,Grams,Infused Pre-Rolls,20762.77,0,0,783.75,20762.77,783.75,893
9/2/2020,Each,Infused (edible),330384.33,11718,330384.33,0,0,11718,8933
12/26/2022,Each,Infused Beverage,39104.58,5307,39104.58,0,0,5307,2674
2/6/2022,Grams,Shake/Trim (by strain),38186.85,0,0,5308.85,38186.85,5308.85,1018
9/10/2020,Each,Concentrate (Each),177794.29,3194,177794.29,0,0,3194,2848
10/16/2021,Each,Infused (non-edible),29362.87,813,29362.87,0,0,813,667
2/26/2020,Grams,Buds,831674.86,0,0,57181.39,831674.86,57181.39,18059
10/30/2020,Grams,Shake/Trim (by strain),16745.7,0,0,1008.25,16745.7,1008.25,773
1/23/2020,Grams,Concentrate,14266,0,0,194,14266,194,190
5/7/2021,Each,Infused Beverage,46717.35,5540,46717.35,0,0,5540,3151
4/13/2022,Grams,Concentrate (Bulk),463.55,0,0,9,463.55,9,6
5/20/2023,Each,Infused (edible),736525.76,36978,736525.76,0,0,36978,29260
3/10/2020,Each,Concentrate (Each),135888.79,2504,135888.79,0,0,2504,2254
11/11/2022,Grams,Shake/Trim,15977.09,0,0,2940,15977.09,2940,299
9/17/2021,Milligrams,Concentrate,656,0,0,9000,656,9000,12
2/10/2021,Each,Infused (non-edible),10130,285,10130,0,0,285,247
8/10/2022,Grams,Concentrate,4738.16,0,0,90.5,4738.16,90.5,89
7/5/2023,Each,Seeds,70.5,8,70.5,0,0,8,3
2/18/2021,Each,Infused (non-edible),12739.83,430,12739.83,0,0,430,349
7/25/2021,Grams,Shake/Trim,759.19,0,0,99,759.19,99,7
1/2/2023,Grams,Concentrate (Bulk),314.66,0,0,43.5,314.66,43.5,8
2/11/2020,Grams,Kief,120,0,0,4,120,4,8
1/16/2021,Each,Infused (edible),629660.1,22760,629660.1,0,0,22760,18055
7/6/2019,Each,Concentrate (Each),524228.51,9616,524228.51,0,0,9616,8260
11/9/2021,Each,Infused (non-edible),14880.89,398,14880.89,0,0,398,305
1/20/2022,Grams,Shake/Trim (by strain),33946.17,0,0,4911.7,33946.17,4911.7,980
10/2/2021,Milligrams,Concentrate,350,0,0,4500,350,4500,6
2/22/2020,Each,Concentrate (Each),233084.37,4196,233084.37,0,0,4196,3721
8/28/2019,Grams,Kief,1421.1,0,0,52,1421.1,52,40
7/13/2023,Grams,Concentrate,16762.64,0,0,509.8,16762.64,509.8,308
6/19/2019,Each,Concentrate (Each),371032.96,6761,371032.96,0,0,6761,6023
9/25/2020,Each,Concentrate (Each),206574.01,3830,206574.01,0,0,3830,3375
2/23/2022,Each,Vape Product,807659.51,15207,807659.51,0,0,15207,13723
1/29/2021,Grams,Shake/Trim,880.85,0,0,82,880.85,82,17
1/5/2020,Each,Concentrate (Each),129309.59,2478,129309.59,0,0,2478,2184
1/30/2019,Grams,Kief,800,0,0,32,800,32,31
3/27/2022,Grams,Concentrate (Bulk),311.52,0,0,9,311.52,9,9
12/16/2022,Grams,Concentrate (Bulk),877.18,0,0,30,877.18,30,23
3/3/2023,Milligrams,Infused Pre-Rolls,100,0,0,5000,100,5000,4
12/28/2021,Each,Infused (non-edible),15689.73,405,15689.73,0,0,405,357
3/30/2022,Kilograms,Buds,115,0,0,0,115,0,3
10/14/2020,Grams,Concentrate,31132.11,0,0,470,31132.11,470,440
7/2/2022,Grams,Kief,6511.39,0,0,255.51,6511.39,255.51,230
6/2/2022,Each,Infused Beverage,36866.62,4312,36866.62,0,0,4312,2144
